Cell_Name,KPI,MAE,RMSE,MAPE (%),Accuracy (%),Data_Mean
enodebF122,ps_traffic_mb,164.84,227.55,790402412602.69,0,394.7
enodebF122,avg_rrc_connected_user,1.78,2.34,42247633160.95,0,9.16
enodebF122,prb_dl_used,44.33,64.69,1917073090906.62,0,119.04
enodebG9,ps_traffic_mb,127.41,179.3,1988301754505.42,0,234.79
enodebG9,avg_rrc_connected_user,1.85,2.36,38327664166.66,0,6.35
enodebG9,prb_dl_used,16.45,24.47,956100821510.32,0,87.37
enodebG21B012,prb_dl_used,3.8,9.04,734508156780.5,0,66.64
enodebD1,ps_traffic_mb,375.65,552.09,8818707784069.07,0,1536.56
enodebD1,avg_rrc_connected_user,3.54,4.44,354942888034.06,0,27.12
enodebD1,prb_dl_used,98.73,143.89,3154131253581.59,0,415.72
enodebB12B071,ps_traffic_mb,62.51,99.36,534.04,0,80.85
enodebB12B071,avg_rrc_connected_user,1.45,2.35,9045136517.2,0,3.77
enodebB12B071,prb_dl_used,12.64,21.19,1128291885070.52,0,76.64
